Ep,Train loss,Dev Loss,Dev AUC,Dev error,Best AUC,Counter
0,0.3972831735480851,0.2968465936771718,0.9269398634855907,0.10272940056333557,0.9269398634855907,0
1,0.35484555071346174,0.2819755599829296,0.9281415654506814,0.10470305867417784,0.9281415654506814,0
2,0.34377988742164456,0.3028679203227433,0.9292073315962437,0.11831038997103982,0.9292073315962437,0
3,0.3270710939019479,0.2924145227988283,0.9285027893392721,0.11041575752767085,0.9292073315962437,1
4,0.31311267041834756,0.2897696215773172,0.9259742698784285,0.1093347086126869,0.9292073315962437,2
5,0.30096292604519204,0.3069650434115039,0.9247953622057166,0.12243622803189591,0.9292073315962437,3
6,0.2938867330683016,0.28386185423067256,0.9298532137376997,0.109304954972825,0.9298532137376997,0
7,0.27976141122216497,0.2940013901018729,0.9246599416714838,0.10457412623477602,0.9298532137376997,1
8,0.2718699405348934,0.2891288521853467,0.9277251123897865,0.11198278256039984,0.9298532137376997,2
9,0.25454478353196014,0.2974886972524199,0.9293453917677816,0.11344071091363506,0.9298532137376997,3
10,0.2462300288169521,0.2871227692190057,0.9280645453993457,0.10702384258340936,0.9298532137376997,4
11,0.23996290243107132,0.2972740223529316,0.9318734315286841,0.1021541635260047,0.9318734315286841,0
12,0.22853624052299423,0.2891535658667493,0.9298826844980758,0.09848454794303174,0.9318734315286841,1
13,0.2239550965230989,0.2904412155398673,0.9289095917457111,0.1064089340262625,0.9318734315286841,2
14,0.2247682165486359,0.30498203841827787,0.9200326090140475,0.11302415995556792,0.9318734315286841,3
15,0.22007041282204576,0.29608813984758636,0.929188936543297,0.10145991192922599,0.9318734315286841,4
16,0.2115061101022899,0.2912346540265278,0.9290843373741066,0.10382036735827349,0.9318734315286841,5
17,0.20422766845299695,0.31198025494827775,0.9271530408284631,0.10885865037489584,0.9318734315286841,6
18,0.20629639551592963,0.30105555638012665,0.9238660221147619,0.11225056531915734,0.9318734315286841,7
19,0.2023636469408694,0.29002098734394144,0.9315549732761481,0.10317570516126473,0.9318734315286841,8
20,0.1989083565815536,0.3143278409266689,0.9268034306416721,0.10165826952830559,0.9318734315286841,9
21,0.19564472144101486,0.3022231192356313,0.9269555023123738,0.10500059507279724,0.9318734315286841,10
