Ep,Train loss,Dev Loss,Dev AUC,Dev error,Best AUC,Counter
0,0.3953056003291176,0.33609573184315134,0.8940037264939854,0.12234853663410072,0.8940037264939854,0
1,0.3494437037804403,0.3399249241536707,0.8995460188799631,0.1234737982311308,0.8995460188799631,0
2,0.3356523351215931,0.32265789207838574,0.9101084368351973,0.12542986044652904,0.9101084368351973,0
3,0.3232612874845751,0.3390263159517992,0.9074037176783456,0.12536676166538718,0.9101084368351973,1
4,0.3144122180959727,0.34328447267711465,0.9047737066002237,0.13401129468182438,0.9101084368351973,2
5,0.3069283051823817,0.3269987544678732,0.9129709586720232,0.12662873728822477,0.9129709586720232,0
6,0.2861532832382359,0.33721588262229946,0.9105297799852616,0.1305513781825448,0.9129709586720232,1
7,0.2797527189384298,0.34675230688214836,0.9094201019119712,0.12953128122075108,0.9129709586720232,2
8,0.27054910268224286,0.3328849490410929,0.9147968605601088,0.13295964832945972,0.9147968605601088,0
9,0.26253868757628135,0.33607641232811636,0.9100173540532632,0.13599890628779354,0.9147968605601088,1
10,0.25175762291390463,0.34284152319554606,0.9114883045847183,0.13719778312948927,0.9147968605601088,2
11,0.236188911620894,0.34915654688149544,0.9111634519860852,0.14263479477121432,0.9147968605601088,3
12,0.23446774846503562,0.360173826449618,0.904958421799965,0.14269789355235618,0.9147968605601088,4
13,0.22598677148793586,0.34754593943526174,0.910433022383485,0.13397974529125345,0.9147968605601088,5
14,0.2180134777893229,0.3388824258729311,0.9179558517133959,0.12951024829370383,0.9179558517133959,0
15,0.21415409703141355,0.35044657155732584,0.9141761146894865,0.13281241784012876,0.9179558517133959,1
16,0.207323534783419,0.36724960585498023,0.9073417962481314,0.14796664177770302,0.9179558517133959,2
17,0.21087528692446267,0.35255190791204816,0.9136265131653338,0.13117184953043992,0.9179558517133959,3
18,0.20590995293159842,0.3530664847258253,0.9088040664024158,0.12931043548675447,0.9179558517133959,4
19,0.198219184119599,0.35867336080923545,0.9038901821968357,0.13721881605653652,0.9179558517133959,5
20,0.18947303975370225,0.39174709087424653,0.9081644924896806,0.12841653608724457,0.9179558517133959,6
21,0.19527726322303085,0.3697238370447197,0.9144583807000234,0.12883719462819043,0.9179558517133959,7
22,0.1938332230859216,0.356509587334354,0.9117622227900765,0.13495777639895257,0.9179558517133959,8
23,0.1916862008983759,0.38672770130638207,0.9103215921521746,0.12892132633637965,0.9179558517133959,9
24,0.18586760575824285,0.3579353602891433,0.9097573917103403,0.13625130141236108,0.9179558517133959,10
