Ep,Train loss,Dev Loss,Dev AUC,Dev error,Best AUC,Counter
0,0.3967155363360745,0.28956443450284125,0.9349968896500949,0.10483684133753202,0.9349968896500949,0
1,0.35569435586783643,0.2886468566649065,0.9317752518174969,0.10034922732382034,0.9349968896500949,1
2,0.33559421705284703,0.28060383392489713,0.935922542789606,0.0998858790317737,0.935922542789606,0
3,0.32566820827885995,0.3022257068644767,0.9313888467432354,0.11388929408029658,0.935922542789606,1
4,0.3176676016273157,0.2912311022894559,0.9332066131741159,0.11291969487656917,0.935922542789606,2
5,0.3077049620904795,0.28892905158314874,0.9339449434863261,0.10802879623829831,0.935922542789606,3
6,0.29446171225227646,0.28428667271094227,0.9365757410944294,0.10783144418798207,0.9365757410944294,0
7,0.283563135455511,0.2975941142932277,0.9311903466759417,0.11833400547437423,0.9365757410944294,1
8,0.2652543683532187,0.3077571716043934,0.9270878730393094,0.12183485923650494,0.9365757410944294,2
9,0.25746202566584603,0.30252226131796806,0.925259166270517,0.11253357129986352,0.9365757410944294,3
10,0.25232114361379787,0.2879759174134663,0.9332178361350252,0.10558334691916293,0.9365757410944294,4
11,0.23871673865662957,0.31712911929378235,0.9191295371068267,0.11384639146066255,0.9365757410944294,5
12,0.23721013695068224,0.2998679899143016,0.9250273155042052,0.10551470272774854,0.9365757410944294,6
13,0.22820213064551353,0.3043683319371099,0.9257221142547056,0.10714500227383883,0.9365757410944294,7
14,0.2191000259280116,0.29140077560415695,0.9319072086472577,0.10499987129214106,0.9365757410944294,8
15,0.22157450073888602,0.3120312782088207,0.917802039447646,0.11409522665453953,0.9365757410944294,9
16,0.21143951430783542,0.2994497324972458,0.9249097727859712,0.10689616707996186,0.9365757410944294,10
