Ep,Train loss,Dev Loss,Dev AUC,Dev error,Best AUC,Counter
0,0.39396692991256715,0.29607189298940373,0.9121157024730738,0.10513246731925552,0.9121157024730738,0
1,0.35215266349139035,0.3022911790198844,0.9136659483840152,0.10836462886576781,0.9136659483840152,0
2,0.3363284159368939,0.30367851711370725,0.9143579175301777,0.10616881118020072,0.9143579175301777,0
3,0.3278360750498595,0.31258800762808847,0.9077488813035564,0.11307434997640009,0.9143579175301777,1
4,0.3140442737053942,0.33430120452014866,0.9148018850511703,0.13155410535820555,0.9148018850511703,0
5,0.30007944031997963,0.3001651079001987,0.9149780883441184,0.11050914239980303,0.9149780883441184,0
6,0.29233038581079906,0.31679231043976414,0.9071371884623265,0.12029797451209756,0.9149780883441184,1
7,0.27872038269484484,0.3121068702229442,0.9116111238196047,0.11816372180836876,0.9149780883441184,2
8,0.2708847923024937,0.320698374802367,0.9112550749132692,0.12245274887643909,0.9149780883441184,3
9,0.25506573649468245,0.3080172136856548,0.9142460406993619,0.11516755935890333,0.9149780883441184,4
10,0.2536532470915053,0.31146947453487955,0.9208199986683832,0.11934371729360338,0.9208199986683832,0
11,0.2391407748118595,0.30470703702754565,0.9188787667785768,0.10841593301729979,0.9208199986683832,1
12,0.2313049555487103,0.31628410922510564,0.9122594538051263,0.11667590141394246,0.9208199986683832,2
13,0.22647868620024786,0.3115548993847415,0.9148271101171535,0.11438773625561782,0.9208199986683832,3
14,0.21874367847486778,0.31219359840953986,0.9104122089441464,0.11649120646842748,0.9208199986683832,4
15,0.21619545389104772,0.3188541305222478,0.9107075759982765,0.11911797902686283,0.9208199986683832,5
16,0.20761152915932515,0.33053934642528604,0.906519753077334,0.1238892651193334,0.9208199986683832,6
17,0.20839069721875367,0.32875234980232815,0.9042726026480525,0.12243222721582625,0.9208199986683832,7
18,0.20013450177179443,0.32992179111717723,0.910479343335669,0.11983623714831004,0.9208199986683832,8
19,0.19923609643070786,0.330421424285766,0.9090661990671391,0.11674772722608717,0.9208199986683832,9
20,0.19629731695409175,0.3180631868007817,0.9135199151959534,0.11641938065628266,0.9208199986683832,10
