Ep,Train loss,Dev Loss,Dev AUC,Dev error,Best AUC,Counter
0,0.39058228192345196,0.32152923500560876,0.901312027732971,0.11808485520413081,0.901312027732971,0
1,0.35593662156865297,0.3212777974471293,0.9052714344692452,0.11500518411300342,0.9052714344692452,0
2,0.3423829430356523,0.3412892820457653,0.9054251511286595,0.1337193187767547,0.9054251511286595,0
3,0.3322253545240456,0.3171100626442247,0.9041975399045263,0.11796166836048572,0.9054251511286595,1
4,0.3121948147760026,0.33593823047389076,0.8974134845835688,0.12612279675197358,0.9054251511286595,2
5,0.3043667712859464,0.380469877827447,0.8818285850624463,0.16144662416720557,0.9054251511286595,3
6,0.2942983951320909,0.34624408956744523,0.890440104399749,0.14160327677004092,0.9054251511286595,4
7,0.2778900573461853,0.3252736851909484,0.9057235336786846,0.12430579080820836,0.9057235336786846,0
8,0.26843415590508884,0.3393090935020369,0.9038768670991426,0.13575190169689877,0.9057235336786846,1
9,0.2589817275570718,0.3899747568907514,0.8933287052891072,0.14861466128750778,0.9057235336786846,2
10,0.2526742651525095,0.3501931405302936,0.8845610892925024,0.12671819982959154,0.9057235336786846,3
11,0.2454375447582034,0.3663972972054676,0.8861137448602745,0.1401353002166036,0.9057235336786846,4
12,0.2439837098207991,0.35903368933413554,0.8922722817492053,0.13957069384989684,0.9057235336786846,5
13,0.24198335438461,0.3615048134802257,0.8852423236193365,0.1288431728824695,0.9057235336786846,6
14,0.23403500274613204,0.3545646977209512,0.8916186599851709,0.13124531633354886,0.9057235336786846,7
15,0.22781241204379904,0.35780352359075696,0.890721959258246,0.1341196760186012,0.9057235336786846,8
16,0.22788372387899863,0.36758424374928156,0.8809049766444832,0.13107080163838503,0.9057235336786846,9
17,0.22530666620463644,0.39049523611806725,0.8905270992674394,0.13088602137291738,0.9057235336786846,10
