Ep,Train loss,Dev Loss,Dev AUC,Dev error,Best AUC,Counter
0,0.3965391271565793,0.3140418000096333,0.9128545179229912,0.11162614133583748,0.9128545179229912,0
1,0.35269350602605637,0.30472973254085806,0.920666743453364,0.11352420531058316,0.920666743453364,0
2,0.33663507069312254,0.31374033624205105,0.911817801261464,0.11236538730494894,0.920666743453364,1
3,0.32588377836320176,0.30457440616865267,0.9180605836706344,0.11351421550018981,0.920666743453364,2
4,0.31593832289855156,0.3107153287099125,0.9163819290799857,0.11392379772631911,0.920666743453364,3
5,0.29872291789737326,0.3083033504893001,0.9220474892442053,0.1207068789834369,0.9220474892442053,0
6,0.2872542287360811,0.3057534918145837,0.9205974928752276,0.11419352260694093,0.9220474892442053,1
7,0.2820668826926742,0.31468485753369235,0.9150288220334786,0.11528241193982136,0.9220474892442053,2
8,0.2675158785292383,0.31503546257260506,0.9210029255247608,0.11339433777546903,0.9220474892442053,3
9,0.25959420825779084,0.3147334553169439,0.9168896932985287,0.11224550958022816,0.9220474892442053,4
10,0.25032596962427245,0.32750037296241674,0.9219944366849679,0.1125551937024235,0.9220474892442053,5
11,0.23923108315635364,0.3243951286981792,0.9180039876706558,0.11196579488921299,0.9220474892442053,6
12,0.23097045624838072,0.326862729299037,0.9122416795197807,0.11638129108309525,0.9220474892442053,7
13,0.23313751250792009,0.32588633695723074,0.9134105594191138,0.11616151525444052,0.9220474892442053,8
14,0.22254926443496753,0.3426540242446539,0.9077997578892719,0.1271702863079659,0.9220474892442053,9
15,0.21499236402537167,0.3306301841058741,0.9168938072220154,0.11609158658168672,0.9220474892442053,10
