Ep,Train loss,Dev Loss,Dev AUC,Dev error,Best AUC,Counter
0,0.3999771734899726,0.32141709254497985,0.9285092287709082,0.11744458212859699,0.9285092287709082,0
1,0.355119455870518,0.3049396061818505,0.9289304542293704,0.11158153196567078,0.9289304542293704,0
2,0.34319084911060727,0.33939862487441586,0.9136423808834843,0.13378310156500983,0.9289304542293704,1
3,0.32868416176354587,0.3289556834088016,0.9265733656828836,0.12341089540593875,0.9289304542293704,2
4,0.3216672915195631,0.33445920898716375,0.9290685266871763,0.12699068337234387,0.9290685266871763,0
5,0.30421154072954637,0.3036311484346392,0.9299868694238285,0.1108701638441415,0.9299868694238285,0
6,0.2906307271689423,0.30378046031861733,0.9323299134695475,0.11158153196567078,0.9323299134695475,0
7,0.28378413102843547,0.3124717226989257,0.9271540674275724,0.11284363669741615,0.9323299134695475,1
8,0.26873444417291437,0.33394922154560935,0.9290471095606816,0.12761026205883708,0.9323299134695475,2
9,0.25999476862840415,0.32068099359331775,0.9317227502919564,0.11635458258754416,0.9323299134695475,3
10,0.25351475163185894,0.33680971970914125,0.9238270318115834,0.1351943641286888,0.9323299134695475,4
11,0.24706675365320907,0.32032698281100624,0.9314190945519433,0.11007847996695586,0.9323299134695475,5
12,0.24228567281537805,0.3179397949472503,0.9281002433223777,0.11510395153517827,0.9323299134695475,6
13,0.24218645271314077,0.3158219117264631,0.9278226335949963,0.11567763550415344,0.9323299134695475,7
14,0.2368951057784321,0.31585204658949007,0.9261338735851312,0.11525310936711186,0.9323299134695475,8
15,0.22839618686371105,0.321419690398054,0.931335204518829,0.11062921657717195,0.9323299134695475,9
16,0.2296153384730343,0.32389291068310544,0.9337839399228628,0.10941300656294461,0.9337839399228628,0
17,0.22145675538985196,0.3474546583096854,0.9292314888033454,0.12125384368259218,0.9337839399228628,1
18,0.22332834353870598,0.3253599663767411,0.92587394335816,0.11573500390105096,0.9337839399228628,2
19,0.22023477918845563,0.329048169256191,0.9231863022713758,0.11816742392950574,0.9337839399228628,3
20,0.2171234770808831,0.3288295428687134,0.9262175329255691,0.11469089907751617,0.9337839399228628,4
21,0.2133543708846589,0.3295265614767676,0.925854260763068,0.11880994997475791,0.9337839399228628,5
22,0.2233663713574902,0.31788165287195363,0.9320360766227166,0.10982605902060671,0.9337839399228628,6
23,0.21205096605641782,0.33701497913186323,0.9289998661288663,0.11734131901418143,0.9337839399228628,7
24,0.2146895506303788,0.3417818460123281,0.9250288663606921,0.1132222681169397,0.9337839399228628,8
25,0.21253490944600795,0.332640828960241,0.9262670543752931,0.11440405709302859,0.9337839399228628,9
26,0.2086601929723724,0.32574020318725894,0.9268052866967639,0.11137500573683967,0.9337839399228628,10
