Ep,Train loss,Dev Loss,Dev AUC,Dev error,Best AUC,Counter
0,0.39320600546896456,0.2894786892256078,0.9209347574337792,0.10483939137785292,0.9209347574337792,0
1,0.3527571833754579,0.2945490074665179,0.9188697652109796,0.1076394759087067,0.9209347574337792,1
2,0.34133507040639716,0.3053832042978845,0.9094112214246723,0.10902366863905322,0.9209347574337792,2
3,0.32848542410880327,0.30406915745477486,0.9127184024997781,0.1144970414201183,0.9209347574337792,3
4,0.3158275783061981,0.30934719383985826,0.9086649950385156,0.11359890109890114,0.9209347574337792,4
5,0.30209499773879844,0.30652517514769384,0.9151995101371733,0.11057692307692313,0.9209347574337792,5
6,0.29307019054889677,0.3078181640971165,0.914886965874711,0.1119294167371091,0.9209347574337792,6
7,0.2775148699184259,0.3182590780743358,0.9114685082481357,0.11522612003381238,0.9209347574337792,7
8,0.2686259349063039,0.31241095259169427,0.914748865799744,0.1098161453930685,0.9209347574337792,8
9,0.2596001758798957,0.31145763832918116,0.9107056007428476,0.11300718512256969,0.9209347574337792,9
10,0.2524199216502408,0.3159272596744182,0.9116624527348796,0.11570160608622149,0.9209347574337792,10
