Ep,Train loss,Dev Loss,Dev AUC,Dev error,Best AUC,Counter
0,0.39631749034868524,0.3288411890314854,0.917161057941347,0.12249981371682828,0.917161057941347,0
1,0.35319199966285314,0.29887177992538533,0.9224085872652736,0.11030092715795747,0.9224085872652736,0
2,0.3437458255708812,0.29542846080178725,0.9206682421016936,0.11191892956367155,0.9224085872652736,1
3,0.32685743809439416,0.3110796060993791,0.9231042648848019,0.11595329082528771,0.9231042648848019,0
4,0.31460585507047534,0.31185792525460987,0.9166634480119523,0.11348370820603981,0.9231042648848019,1
5,0.2972081546916122,0.30713365816885263,0.9198128021138372,0.11305791809927301,0.9231042648848019,2
6,0.29488166838735835,0.30098548331127234,0.9200405227049818,0.11004545309389735,0.9231042648848019,3
7,0.276636158806145,0.32726195077463477,0.9232142587227858,0.12127566715987359,0.9232142587227858,0
8,0.27184696657663565,0.30375942342216544,0.920243187923204,0.11310049710994963,0.9232142587227858,1
9,0.2620135544616717,0.3045280014252533,0.9211533919213588,0.119881204560212,0.9232142587227858,2
10,0.25227593110744345,0.2943146166443777,0.9270402309178947,0.10878937227893515,0.9270402309178947,0
11,0.2440754552603857,0.3181463077699605,0.9211833659562414,0.11470785476299461,0.9270402309178947,1
12,0.23779086261195598,0.31181226333730383,0.9192296206929012,0.11437786743025025,0.9270402309178947,2
13,0.24545756582653402,0.3032102672835924,0.920437627840232,0.11578297478258093,0.9270402309178947,3
14,0.23327758347931196,0.31475966894115304,0.9229716054066167,0.11677293678081391,0.9270402309178947,4
15,0.22486315038909152,0.29763549820425356,0.9284031132496444,0.11515493437509983,0.9284031132496444,0
16,0.23023547128189442,0.29818420811256524,0.9242139227624637,0.11468656525765619,0.9284031132496444,1
17,0.22505807687847124,0.3352840641021626,0.9216424531053723,0.12201015509404634,0.9284031132496444,2
18,0.22238948935042585,0.29968893485336007,0.9259870411970919,0.1138882088074683,0.9284031132496444,3
19,0.22440970815297376,0.30582970598668274,0.9227672357530446,0.11353693196938575,0.9284031132496444,4
20,0.21921652319695664,0.3100927432218153,0.9232581232415573,0.11275986502453617,0.9284031132496444,5
21,0.2194551554728188,0.30816770662139,0.9280397779978443,0.11234471967043846,0.9284031132496444,6
22,0.2197891926884874,0.3192584141475303,0.9274065256840069,0.11422884089288188,0.9284031132496444,7
23,0.21766047305938016,0.31996089119125304,0.9262420581673132,0.10991771606186729,0.9284031132496444,8
24,0.21607716780378672,0.3145067951176135,0.9238696793813866,0.11521880289111486,0.9284031132496444,9
25,0.21599911331536367,0.31563642745844206,0.9227539658776894,0.11353693196938575,0.9284031132496444,10
