partition,metric,prediction,bac,csi,f05,f1s,f2s,fnr,fom,fpr,inf,mcc,mk,npv,ppv,tnr,tpr,aucroc,aucpr,aps,thr
disorder_nox,default,predictions,0.785,0.471,0.55,0.64,0.765,0.12,0.059,0.311,0.569,0.503,0.444,0.941,0.503,0.689,0.88,0.86,0.662,0.66,0.5
disorder_nox,f1s,predictions,0.78,0.494,0.626,0.662,0.702,0.268,0.104,0.172,0.56,0.529,0.5,0.896,0.604,0.828,0.732,0.86,0.662,0.66,0.805
disorder_pdb,default,predictions,0.882,0.726,0.846,0.841,0.836,0.168,0.077,0.068,0.764,0.769,0.773,0.923,0.85,0.932,0.832,0.947,0.917,0.917,0.5
disorder_pdb,f1s,predictions,0.877,0.725,0.861,0.841,0.821,0.192,0.086,0.053,0.755,0.772,0.79,0.914,0.876,0.947,0.808,0.947,0.917,0.917,0.566
