Ep,Train loss,Dev Loss,Dev AUC,Dev error,Best AUC,Counter
0,0.3956959223601337,0.28577252280601184,0.9230068399364889,0.10804752903051584,0.9230068399364889,0
1,0.35341041698742337,0.31489499501145257,0.9152231438403017,0.11672517778377889,0.9230068399364889,1
2,0.335129686274762,0.2893246230740738,0.923439319814126,0.1098928796471329,0.923439319814126,0
3,0.32315547613963175,0.28735603973191537,0.9237888092790816,0.10643622288234766,0.9237888092790816,0
4,0.3211722983384521,0.2920245656241772,0.9282111081789638,0.11342155009451793,0.9282111081789638,0
5,0.30103139268671014,0.28841119754943567,0.9287296899595644,0.11105410027905305,0.9287296899595644,0
6,0.28628805486446673,0.2839036304349694,0.9325413440802557,0.10622918354487354,0.9325413440802557,0
7,0.2807920269049063,0.2945429251227483,0.9269733076188031,0.11410568007921507,0.9325413440802557,1
8,0.26323333475462407,0.2928582702247674,0.9280317264362803,0.11673417949410392,0.9325413440802557,2
9,0.2586892304848051,0.2941047819918185,0.9271299447350484,0.11338554325321815,0.9325413440802557,3
10,0.24802373012511242,0.29808004112207365,0.9293702548919665,0.11757133855432533,0.9325413440802557,4
11,0.2380344339864721,0.28764861849659634,0.9335659530302135,0.10432082095598161,0.9335659530302135,0
12,0.2293481445465049,0.2951163384463759,0.9320496890518039,0.11570798451705822,0.9335659530302135,1
13,0.22280905909769966,0.2893787749852941,0.9323535235774767,0.10531100909172741,0.9335659530302135,2
14,0.21965832382617437,0.3021568833285922,0.9286529357823592,0.11280043208209556,0.9335659530302135,3
15,0.21191153746065117,0.31024399059567387,0.9272079533089683,0.11329552614996852,0.9335659530302135,4
16,0.2085047589078855,0.30224895831237203,0.9286425758632864,0.11406967323791517,0.9335659530302135,5
17,0.19772183884609523,0.3075330830336509,0.9258052809177861,0.11785939328472406,0.9335659530302135,6
18,0.20171395572902806,0.3193675983938562,0.9312443053080302,0.11041497884598073,0.9335659530302135,7
19,0.1971612889091664,0.29225195623898864,0.9285797347250189,0.10777747772076696,0.9335659530302135,8
20,0.1932962819027441,0.3091151045261361,0.9260546620539571,0.10917274282113598,0.9335659530302135,9
21,0.19675445559266014,0.3132931674315214,0.9243223458142392,0.11666216581150424,0.9335659530302135,10
