Ep,Train loss,Dev Loss,Dev AUC,Dev error,Best AUC,Counter
0,0.3932900790235784,0.2789388393218898,0.9318195931861925,0.10149267483645075,0.9318195931861925,0
1,0.35685102373558303,0.2748828152041372,0.9333415167754155,0.09963834884363776,0.9333415167754155,0
2,0.33849838467025917,0.29380735654034845,0.9257415703286234,0.10683681931263245,0.9333415167754155,1
3,0.3225402630029535,0.284551641257881,0.9283118706611584,0.10288629871924815,0.9333415167754155,2
4,0.31070559336604064,0.2845358168992027,0.9271247756003451,0.10212614023772226,0.9333415167754155,3
5,0.300829391139667,0.3033350298000086,0.9276510966253275,0.10647977517737028,0.9333415167754155,4
6,0.2904485344960548,0.3064678782550828,0.9258908798362069,0.10722841610614575,0.9333415167754155,5
7,0.27878481225900525,0.29916987094801917,0.9262791683994607,0.10429144015479586,0.9333415167754155,6
8,0.26839287826182817,0.29566825089256893,0.9219193102535024,0.10740117939740168,0.9333415167754155,7
9,0.26571051868619305,0.2973965426583739,0.9228643424657104,0.10525891458582881,0.9333415167754155,8
10,0.2570206134736833,0.2927059243404572,0.9251893309373895,0.10464848429005802,0.9333415167754155,9
11,0.24217805575284332,0.3013662673530609,0.9252338306081407,0.10234497373997975,0.9333415167754155,10
