Ep,Train loss,Dev Loss,Dev AUC,Dev error,Best AUC,Counter
0,0.39209648969046995,0.27373990005290544,0.9198492139222841,0.09799966886918832,0.9198492139222841,0
1,0.353324975987727,0.26466082881598957,0.922593830642334,0.09398094492692544,0.922593830642334,0
2,0.3389958994180867,0.26533272822171927,0.9235854578599143,0.09522268547088308,0.9235854578599143,0
3,0.3249737544493242,0.280986457634835,0.9199255348339852,0.10423847439004197,0.9235854578599143,1
4,0.30779013990452797,0.2744261009012839,0.9214854516204478,0.10069386956456294,0.9235854578599143,2
5,0.3036056191632242,0.2766013184311412,0.9219233460422562,0.10182272460452446,0.9235854578599143,3
6,0.29418197161320486,0.30515388083433387,0.9160238084917518,0.11659567422748685,0.9235854578599143,4
7,0.2773942495837356,0.2830141500063007,0.9166447450141719,0.10407290898418098,0.9235854578599143,5
8,0.2644805301319469,0.2760270155016316,0.9190823204510288,0.10316982495221183,0.9235854578599143,6
9,0.2515970187656807,0.28655357515779367,0.9165766382183013,0.10362889266846276,0.9235854578599143,7
10,0.25044490999231733,0.28129103131578026,0.9199430572900258,0.10396754918045126,0.9235854578599143,8
11,0.2402239344223882,0.29379536017878843,0.912017235572542,0.11015367479944005,0.9235854578599143,9
12,0.23264406695961953,0.29482912095066655,0.9081703428306733,0.11042460000903087,0.9235854578599143,10
