Ep,Train loss,Dev Loss,Dev AUC,Dev error,Best AUC,Counter
0,0.39021727515615684,0.3295833322120555,0.898674997860266,0.11487805138158669,0.898674997860266,0
1,0.34601664456137776,0.31084846288002005,0.9132327595372901,0.11255318922031798,0.9132327595372901,0
2,0.3320585352117128,0.33661324719559466,0.9078220032149988,0.12191662489735411,0.9132327595372901,1
3,0.3198252310935598,0.32009132980700183,0.91135338409294,0.11629643059006711,0.9132327595372901,2
4,0.3123965706920972,0.31235436877231637,0.9169543587491992,0.11251053119901033,0.9169543587491992,0
5,0.29728709335309744,0.33472472854579755,0.9086036735941174,0.12659834273587223,0.9169543587491992,1
6,0.28566889247319993,0.32749631378962235,0.9167186036868513,0.11735221661743223,0.9169543587491992,2
7,0.2810009695426391,0.31262847745967487,0.9212596752549655,0.11623244355810558,0.9212596752549655,0
8,0.2633884870549188,0.3223128783396178,0.9181397886435451,0.1193144855975855,0.9212596752549655,1
9,0.25899586090750065,0.32255772874331473,0.9211436634102055,0.11461143874841362,0.9212596752549655,2
10,0.24317019679685578,0.31750469185590235,0.9205380259699338,0.11870660879395112,0.9212596752549655,3
11,0.2382160278730584,0.3341272477267188,0.9127731812711056,0.12539325363393017,0.9212596752549655,4
12,0.23075475575280016,0.32400389946253555,0.9200939852731949,0.12363361025498831,0.9212596752549655,5
13,0.22651992918257297,0.3177194136785669,0.920311134783345,0.11454745171645209,0.9212596752549655,6
14,0.22274014617513566,0.3444384812754514,0.9125411889970585,0.1313547121116787,0.9212596752549655,7
15,0.21714371756045486,0.33685798411505313,0.9122917941216411,0.12317503652593076,0.9212596752549655,8
16,0.20665902607414843,0.3372898815787088,0.9218361240555109,0.12538258912860323,0.9218361240555109,0
17,0.20959419835168513,0.3457573865223569,0.91923746726742,0.11457944523243291,0.9218361240555109,1
18,0.20621312214401516,0.3382654825265029,0.9203544635275513,0.11904787296441255,0.9218361240555109,2
19,0.19907615059429276,0.34425021761930125,0.9166870473676294,0.11671234629781702,0.9218361240555109,3
20,0.19520442434144716,0.34518892188682326,0.9170012822089246,0.11384359436487534,0.9218361240555109,4
21,0.19108892390708418,0.3632909303906383,0.9162979018069362,0.11807740297966274,0.9218361240555109,5
22,0.19134819877272757,0.34566636078743107,0.9160960497996573,0.11822670605423968,0.9218361240555109,6
23,0.18610485409298083,0.34416445644414373,0.9151423325816472,0.11211594450191431,0.9218361240555109,7
24,0.1901757088918103,0.3566428433516572,0.9145999174721802,0.11893056340581643,0.9218361240555109,8
25,0.18600376114031694,0.35805608608640144,0.9190178812255287,0.11146540967697216,0.9218361240555109,9
26,0.18022390497698837,0.3552964667565147,0.9154126818394738,0.1196984077893547,0.9218361240555109,10
