Ep,Train loss,Dev Loss,Dev AUC,Dev error,Best AUC,Counter
0,0.4003005533461994,0.31452485804350655,0.9166808777758213,0.1163224296161256,0.9166808777758213,0
1,0.3587691181368964,0.3249266647044131,0.92092569731165,0.12311739968096791,0.92092569731165,0
2,0.3448478144217576,0.3160485157111899,0.9086710247182572,0.11485156719355305,0.92092569731165,1
3,0.3334602209391506,0.30616701139060515,0.9217164111140852,0.11749290464253903,0.9217164111140852,0
4,0.3180779818713765,0.3305282996596079,0.9089665221371476,0.12749891239046218,0.9217164111140852,1
5,0.30517351103188406,0.31012715975455535,0.9164080641190682,0.11803153031841063,0.9217164111140852,2
6,0.2926400538964487,0.3157152880425696,0.912283316481828,0.11713036812993305,0.9217164111140852,3
7,0.2841481976023871,0.3254979063521792,0.9125710716102673,0.12120113525719378,0.9217164111140852,4
8,0.27591136816134004,0.30845023531478954,0.9233824195244238,0.12280665409873426,0.9233824195244238,0
9,0.26159373466143854,0.35287592923137145,0.9161681883950301,0.11996851111433371,0.9233824195244238,1
10,0.25244888806812327,0.3329735644838643,0.9182886140984373,0.11900519980940938,0.9233824195244238,2
11,0.2493489556438859,0.31452821620131943,0.9203988072661121,0.11725466636282655,0.9233824195244238,3
12,0.23806216114729492,0.3125975728115715,0.9223627441556435,0.12120113525719378,0.9233824195244238,4
13,0.23961646722589106,0.32159601994276743,0.9191590933368958,0.12302417600629778,0.9233824195244238,5
14,0.2364395847497274,0.32091118692163956,0.9177127711125612,0.12486793312755073,0.9233824195244238,6
15,0.22989591661609796,0.34297314243284793,0.9132054236724572,0.12599697540966626,0.9233824195244238,7
16,0.2297372816869961,0.3214918578186282,0.9171757067215642,0.12437074019597683,0.9233824195244238,8
17,0.2256296556037375,0.3303184986023144,0.9173278628468511,0.12067286776739661,0.9233824195244238,9
18,0.21889851283487963,0.32946510576193794,0.9221418397040482,0.1188083942739947,0.9233824195244238,10
