Ep,Train loss,Dev Loss,Dev AUC,Dev error,Best AUC,Counter
0,0.39052900775748106,0.2611949738088685,0.9537406494929677,0.09314732118604474,0.9537406494929677,0
1,0.36601839747100723,0.2590814303725248,0.9514751540762718,0.09480969610048129,0.9537406494929677,1
2,0.34299669493836155,0.27055053641544013,0.9485592542586969,0.09463585297217425,0.9537406494929677,2
3,0.3321890460812235,0.2615800368287237,0.9455890245393711,0.09436422308419445,0.9537406494929677,3
4,0.31822516796353645,0.25561164436501194,0.952126761351182,0.09275617414735382,0.9537406494929677,4
5,0.30845448576148665,0.2583886445598302,0.9462922734706742,0.09464671816769343,0.9537406494929677,5
6,0.29225741799420385,0.2585392246757089,0.942420485828798,0.09402740202309945,0.9537406494929677,6
7,0.2795062256393148,0.25090194969128127,0.9475301198999844,0.09133283353433941,0.9537406494929677,7
8,0.27160018005379,0.24404159166398937,0.951030150965371,0.09123504677466676,0.9537406494929677,8
9,0.26272692647492313,0.26443385283247134,0.9421069209551064,0.10079641883155688,0.9537406494929677,9
10,0.25921872919224587,0.2648849216749652,0.9412087598501793,0.09873203168291012,0.9537406494929677,10
