Ep,Train loss,Dev Loss,Dev AUC,Dev error,Best AUC,Counter
0,0.3968294403411236,0.35947558350072484,0.8701467943897725,0.13703671838404696,0.8701467943897725,0
1,0.3603168841033325,0.2857897465371046,0.9125444643180733,0.09589224430487442,0.9125444643180733,0
2,0.34302534965464415,0.3123396671057755,0.9052757046975084,0.10567170457043984,0.9125444643180733,1
3,0.33047595812347863,0.2960408536648244,0.9106228979860626,0.10710564302580128,0.9125444643180733,2
4,0.3130856718387536,0.29350929574303203,0.9115477280596822,0.10308105576108673,0.9125444643180733,3
5,0.30315922053415373,0.28492751210842066,0.9096336957830987,0.0993910541359565,0.9125444643180733,4
6,0.29631152585573134,0.3309090582813564,0.9061918141131498,0.12236274819084769,0.9125444643180733,5
7,0.2755490546574944,0.29020536903850835,0.9106642104411203,0.1001367021327445,0.9125444643180733,6
8,0.267266525932193,0.295285591444045,0.9128262202932145,0.09987859321077941,0.9128262202932145,0
9,0.26384917431989907,0.3193732676611458,0.9077875784987716,0.12217155639679944,0.9128262202932145,1
10,0.25550447014383537,0.29447453610456453,0.9116014297091254,0.10204862007322646,0.9128262202932145,2
11,0.2479228634118934,0.3086849033598415,0.9072936411839804,0.10440027914001926,0.9128262202932145,3
12,0.246008645874172,0.2959934095709073,0.9126457628033596,0.10152284263959388,0.9128262202932145,4
13,0.2356263355444025,0.3030876668937656,0.9115840316963956,0.10376934621966027,0.9128262202932145,5
14,0.2310912311389119,0.31243106489021755,0.9080854642198541,0.10593937308210732,0.9128262202932145,6
15,0.22903385666047707,0.30159257947745266,0.9126740054502721,0.09931457741833716,0.9128262202932145,7
16,0.23000237514487962,0.31270704183559156,0.9054015210461741,0.10353035647709996,0.9128262202932145,8
17,0.2305216785127194,0.3058265138958169,0.9106181579301363,0.09845421434512036,0.9128262202932145,9
18,0.2243789901685475,0.3097151089710321,0.9088783338288227,0.10637911420841817,0.9128262202932145,10
